Date,Clicks,Impressions,CTR,Position
2020-06-11T00:00:00Z,976,21438,0.0455,21.39
2020-06-10T00:00:00Z,1111,24173,0.046,20.48
2020-06-09T00:00:00Z,1166,25310,0.0461,21.25
2020-06-08T00:00:00Z,1216,26591,0.045700000000000005,21.14
2020-06-07T00:00:00Z,1203,29516,0.0408,22.36
2020-06-06T00:00:00Z,730,20148,0.0362,26.67
2020-06-05T00:00:00Z,715,18726,0.0382,25.53
2020-06-04T00:00:00Z,1057,24058,0.043899999999999995,23.08
2020-06-03T00:00:00Z,1089,24514,0.0444,20.91
2020-06-02T00:00:00Z,1129,24957,0.0452,20.23
2020-06-01T00:00:00Z,1237,25387,0.0487,19.88
2020-05-31T00:00:00Z,1284,26221,0.049,19.74
2020-05-30T00:00:00Z,711,18333,0.0388,25.63
2020-05-29T00:00:00Z,681,17690,0.0385,25.93
2020-05-28T00:00:00Z,1019,23349,0.0436,22.63
2020-05-27T00:00:00Z,1178,25144,0.046900000000000004,21.29
2020-05-26T00:00:00Z,1222,27095,0.0451,21.83
2020-05-25T00:00:00Z,1200,26377,0.0455,20.41
2020-05-24T00:00:00Z,854,20137,0.0424,24.41
2020-05-23T00:00:00Z,681,18068,0.0377,25.84
2020-05-22T00:00:00Z,636,17283,0.0368,25.8
2020-05-21T00:00:00Z,889,21899,0.0406,23.72
2020-05-20T00:00:00Z,1045,24390,0.042800000000000005,22.51
2020-05-19T00:00:00Z,1131,24882,0.0455,21.93
2020-05-18T00:00:00Z,1093,24864,0.044000000000000004,20.83
2020-05-17T00:00:00Z,1111,26872,0.041299999999999996,22.33
2020-05-16T00:00:00Z,661,18491,0.035699999999999996,26.45
2020-05-15T00:00:00Z,715,17683,0.0404,24.52
2020-05-14T00:00:00Z,1002,22401,0.0447,21.61
2020-05-13T00:00:00Z,1055,23393,0.0451,20.49
2020-05-12T00:00:00Z,1089,25363,0.0429,20.74
2020-05-11T00:00:00Z,1095,23871,0.045899999999999996,18.46
2020-05-10T00:00:00Z,1118,24501,0.045599999999999995,19.95
2020-05-09T00:00:00Z,542,16186,0.0335,27.5
2020-05-08T00:00:00Z,608,16491,0.0369,26.32
2020-05-07T00:00:00Z,906,22576,0.0401,22.23
2020-05-06T00:00:00Z,1013,23876,0.0424,20.51
2020-05-05T00:00:00Z,1107,25105,0.0441,21.18
2020-05-04T00:00:00Z,1024,24078,0.0425,21.04
2020-05-03T00:00:00Z,981,21218,0.0462,20.34
2020-05-02T00:00:00Z,596,15191,0.0392,25.09
2020-05-01T00:00:00Z,584,14732,0.039599999999999996,24.66
2020-04-30T00:00:00Z,872,18644,0.046799999999999994,19.75
2020-04-29T00:00:00Z,936,19369,0.0483,18.38
2020-04-28T00:00:00Z,919,19017,0.0483,19.57
2020-04-27T00:00:00Z,901,19442,0.0463,19.11
2020-04-26T00:00:00Z,939,20438,0.045899999999999996,19.77
2020-04-25T00:00:00Z,543,15704,0.0346,26.83
2020-04-24T00:00:00Z,582,15656,0.037200000000000004,26.6
2020-04-23T00:00:00Z,780,19754,0.0395,23.83
2020-04-22T00:00:00Z,894,20740,0.0431,22.04
2020-04-21T00:00:00Z,908,20394,0.044500000000000005,22.36
2020-04-20T00:00:00Z,885,21272,0.0416,22.8
2020-04-19T00:00:00Z,888,21488,0.041299999999999996,22.76
2020-04-18T00:00:00Z,547,16195,0.0338,26.71
2020-04-17T00:00:00Z,523,14154,0.037000000000000005,25.12
2020-04-16T00:00:00Z,751,17969,0.0418,21.73
2020-04-15T00:00:00Z,866,19901,0.0435,20.8
2020-04-14T00:00:00Z,1027,21861,0.047,21.33
2020-04-13T00:00:00Z,958,20617,0.04650000000000001,20.09
2020-04-12T00:00:00Z,984,22396,0.043899999999999995,21.64
2020-04-11T00:00:00Z,509,15863,0.0321,27.65
2020-04-10T00:00:00Z,583,16087,0.0362,25.49
2020-04-09T00:00:00Z,836,19536,0.042800000000000005,21.71
2020-04-08T00:00:00Z,908,21898,0.0415,20.54
2020-04-07T00:00:00Z,919,21068,0.0436,20.55
2020-04-06T00:00:00Z,954,21973,0.0434,19.95
2020-04-05T00:00:00Z,991,23062,0.043,20
2020-04-04T00:00:00Z,671,16963,0.039599999999999996,25.31
2020-04-03T00:00:00Z,702,17754,0.0395,25.14
2020-04-02T00:00:00Z,1010,24203,0.0417,21.51
2020-04-01T00:00:00Z,1079,25671,0.042,20.05
2020-03-31T00:00:00Z,1106,26694,0.0414,18.28
2020-03-30T00:00:00Z,1117,27020,0.041299999999999996,19.95
2020-03-29T00:00:00Z,1192,27736,0.043,19.79
2020-03-28T00:00:00Z,692,20253,0.0342,24.33
2020-03-27T00:00:00Z,764,21608,0.0354,22.65
2020-03-26T00:00:00Z,1003,24881,0.0403,19.23
2020-03-25T00:00:00Z,1038,25151,0.041299999999999996,20.58
2020-03-24T00:00:00Z,1031,27909,0.0369,20.34
2020-03-23T00:00:00Z,952,25589,0.037200000000000004,20.58
2020-03-22T00:00:00Z,911,27828,0.0327,21.25
2020-03-21T00:00:00Z,614,24576,0.025,25.44
2020-03-20T00:00:00Z,617,22227,0.0278,24.5
2020-03-19T00:00:00Z,832,27793,0.029900000000000003,21.37
2020-03-18T00:00:00Z,939,29624,0.0317,21.2
2020-03-17T00:00:00Z,986,32103,0.030699999999999998,20.77
